segment	frames	psnr	ssim	lpips
IMG_7959_s0	89	14.93	0.304	0.815
IMG_7959_s1	92	15.79	0.338	0.741
IMG_7960_s0	115	14.87	0.257	0.928
IMG_7960_s2	156	13.97	0.299	0.879
IMG_7960_s3	84	13.51	0.300	0.826
IMG_7961_s0	94	20.11	0.631	0.307
IMG_7961_s1	67	20.76	0.657	0.263
IMG_7961_s2	76	21.37	0.656	0.272
IMG_7963_s0	83	22.99	0.713	0.163
IMG_7963_s1	64	20.59	0.639	0.209
IMG_7964_s0	276	20.29	0.548	0.414
IMG_7970_s0	105	18.18	0.507	0.435
IMG_7970_s1	220	17.70	0.426	0.606
IMG_7970_s2	91	17.62	0.483	0.429
IMG_7970_s3	64	17.26	0.481	0.386
IMG_7971_s0	93	21.83	0.720	0.236
IMG_7971_s1	64	20.43	0.641	0.251
IMG_7972_s0	86	16.75	0.387	0.581
IMG_7972_s1	75	15.45	0.335	0.583
IMG_7973_s0	130	22.27	0.707	0.244
IMG_7974_s0	165	15.48	0.342	0.702
IMG_7974_s1	191	15.15	0.341	0.739
IMG_7975_s0	61	21.10	0.663	0.258
IMG_7975_s1	66	20.67	0.648	0.253
IMG_7984_s0	140	25.91	0.854	0.132
IMG_7987_s0	186	18.61	0.431	0.523
IMG_7990_s0	151	21.05	0.655	0.253
IMG_7990_s1	241	17.59	0.372	0.619
IMG_7993_s0	72	22.50	0.707	0.172
IMG_7994_s0	196	21.05	0.644	0.339
IMG_7994_s1	197	19.93	0.573	0.410
IMG_7995_s0	141	16.60	0.433	0.581
IMG_7995_s1	133	16.66	0.352	0.664
IMG_7995_s2	117	15.68	0.383	0.650
IMG_7996_s0	200	14.32	0.352	0.854
IMG_7996_s1	188	15.96	0.230	0.858
IMG_7997_s0	151	20.81	0.659	0.306
IMG_7998_s0	118	17.60	0.539	0.422
IMG_7999_s0	170	19.97	0.640	0.347
IMG_7999_s1	167	20.14	0.626	0.385
IMG_8001_s0	169	18.64	0.549	0.457
IMG_8001_s1	195	15.98	0.382	0.660
