survey	config	block	run	date	max_step	train_psnr	train_fg	peak_fg	peak_fg_step	eval_psnr	eval_fg	gauss
01_13B_Jackal	lio_arc_size15.0_ov0.10_kf20cm	block_000	splat_runs_lio_only_v2/lio_v2_block_000/high/2026-07-08_102325	2026-07-08	5000	10.44	19.20	24.30	4920			608161.00
01_13B_Jackal	lio_arc_size15.0_ov0.10_kf20cm	block_001	splat_runs_lio_only_v2/lio_v2_block_001/high/2026-07-08_111852	2026-07-08	5000	9.79	19.95	23.57	1900	9.24	17.15	906973.00
01_13B_Jackal	lio_arc_size15.0_ov0.10_kf20cm	block_002	splat_runs_lio_only_v2/lio_v2_block_002/high/2026-07-08_114135	2026-07-08	5000	10.95	19.66	22.78	2960	9.90	16.41	840183.00
01_13B_Jackal	lio_arc_size15.0_ov0.10_kf20cm	block_003	splat_runs_lio_only_v2/lio_v2_block_003/high/2026-07-08_120543	2026-07-08	5000	16.63	17.70	22.06	920	14.72	18.59	1270517.00
01_13B_Jackal	lio_arc_size15.0_ov0.10_kf20cm	block_004	splat_runs_lio_only_v2/lio_v2_block_004/high/2026-07-08_123317	2026-07-08	5000	11.03	19.63	23.22	4840	11.76	16.12	891517.00
01_13B_Jackal	lio_arc_size15.0_ov0.10_kf20cm	block_005	splat_runs_lio_only_v2/lio_v2_block_005/high/2026-07-08_125802	2026-07-08	5000	9.68	18.79	23.46	4880	11.13	17.10	1205471.00
01_13B_Jackal	lio_arc_size15.0_ov0.10_kf20cm	block_006	splat_runs_lio_only_v2/lio_v2_block_006/high/2026-07-08_132052	2026-07-08	5000	11.58	19.70	22.80	4790	9.09	18.17	1040207.00
01_13B_Jackal	lio_arc_size15.0_ov0.10_kf20cm	block_007	splat_runs_lio_only_v2/lio_v2_block_007/high/2026-07-08_134610	2026-07-08	5000	13.56	17.12	22.67	4930	10.76	17.91	1132356.00
01_13B_Jackal	lio_arc_size15.0_ov0.10_kf20cm	block_008	splat_runs_lio_only_v2/lio_v2_block_008/high/2026-07-08_141047	2026-07-08	5000	9.29	21.19	22.86	4670	14.09	16.82	1040711.00
01_13B_Jackal	lio_arc_size15.0_ov0.10_kf20cm	block_009	splat_runs_lio_only_v2/lio_v2_block_009/high/2026-07-08_143703	2026-07-08	5000	10.28	22.25	23.82	4820	12.65	18.24	918707.00
01_13B_Jackal	lio_arc_size15.0_ov0.10_kf20cm	block_010	splat_runs_lio_only_v2/lio_v2_block_010/high/2026-07-08_150145	2026-07-08	5000	8.99	18.41	22.25	1870	10.12	16.34	1005534.00
01_13B_Jackal	lio_arc_size15.0_ov0.10_kf20cm	block_011	splat_runs_lio_only_v2/lio_v2_block_011/high/2026-07-08_152455	2026-07-08	5000	9.50	20.67	23.06	4690	10.42	17.56	732563.00
01_13B_Jackal	lio_arc_size15.0_ov0.10_kf20cm	block_012	splat_runs_lio_only_v2/lio_v2_block_012/high/2026-07-08_155012	2026-07-08	5000	11.78	20.24	23.38	2710	10.95	19.27	871457.00
01_13B_Jackal	lio_arc_size15.0_ov0.10_kf20cm	block_013	splat_runs_lio_only_v2/lio_v2_block_013/high/2026-07-08_161411	2026-07-08	5000	12.21	18.48	23.17	2590	9.84	17.98	967425.00
01_13B_Jackal	lio_arc_size15.0_ov0.10_kf20cm	block_014	splat_runs_lio_only_v2/lio_v2_block_014/high/2026-07-08_163735	2026-07-08	5000	11.57	21.59	23.48	4870	12.80	20.41	790139.00
01_13B_Jackal	lio_arc_size15.0_ov0.10_kf20cm	block_015	splat_runs_lio_only_v2/lio_v2_block_015/high/2026-07-08_170342	2026-07-08	5000	11.29	18.01	22.31	3850	10.71	18.72	426605.00
01_13B_Jackal	lio_arc_size15.0_ov0.10_kf20cm	block_016	splat_runs_lio_only_v2/lio_v2_block_016/high/2026-07-08_172840	2026-07-08	5000	11.29	20.73	22.79	4530	11.28	18.63	544442.00
01_13B_Jackal	lio_arc_size15.0_ov0.10_kf20cm	block_017	splat_runs_lio_only_v2/lio_v2_block_017/high/2026-07-08_175221	2026-07-08	5000	10.26	21.46	23.56	2660	10.64	20.21	650787.00
01_13B_Jackal	lio_arc_size15.0_ov0.10_kf20cm	block_018	splat_runs_lio_only_v2/lio_v2_block_018/high/2026-07-09_081009	2026-07-09	5000	14.42	20.33	23.87	2940	12.25	21.08	880809.00
